"","Source","Site_name","Site","Core","Habitat_type","Soil_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","State","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3"
"1","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","soil",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0,0.0132,"EA",NA,97.78,0.061
"2","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","soil",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.0132,0.0264,"EA",43.77,93.18,0.068
"3","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","soil",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.0264,0.0396,"EA",NA,95.22,0.061
"4","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","soil",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.0396,0.0528,"EA",NA,99.65,0.045
"5","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","soil",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.0528,0.066,"EA",NA,101.63,0.083
"6","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","soil",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.066,0.0791,"EA",NA,101.77,0.068
"7","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","soil",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.0791,0.0923,"EA",40.81,87.16,0.061
"8","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.0923,0.1055,"EA",NA,87.17,0.076
"9","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.1055,0.1187,"EA",NA,87.87,0.083
"10","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.1187,0.1319,"EA",NA,81.32,0.091
"11","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.1319,0.1451,"EA",NA,72.94,0.091
"12","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.1451,0.1583,"EA",33.16,77.78,0.083
"13","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.1583,0.1715,"EA",NA,70.23,0.106
"14","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.1715,0.1847,"EA",NA,69.64,0.098
"15","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.1847,0.1979,"EA",NA,71.85,0.129
"16","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.1979,0.2111,"EA",NA,56.52,0.136
"17","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.2111,0.2243,"EA",17.93,46.6,0.114
"18","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.2243,0.2374,"EA",NA,44.32,0.28
"19","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.2374,0.2506,"EA",NA,38.64,0.22
"20","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.2506,0.2638,"EA",NA,47.38,0.205
"21","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.2638,0.277,"EA",NA,49.98,0.205
"22","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.277,0.2902,"EA",21.82,38.98,0.182
"23","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.2902,0.3034,"EA",NA,31.99,0.356
"24","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.3034,0.3166,"EA",NA,27.67,0.318
"25","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.3166,0.3298,"EA",NA,38.47,0.227
"26","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.3298,0.343,"EA",NA,35.77,0.265
"27","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.343,0.3562,"EA",NA,35.48,0.242
"28","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.3562,0.3694,"EA",NA,56.68,0.212
"29","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.3694,0.3826,"EA",NA,31.94,0.242
"30","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.3826,0.3957,"EA",NA,25.88,0.25
"31","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.3957,0.4089,"EA",NA,51.88,0.152
"32","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.4089,0.4221,"EA",NA,40.81,0.197
"33","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.4221,0.4353,"EA",16.84,48.84,0.227
"34","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.4353,0.4485,"EA",NA,38.83,0.189
"35","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.4485,0.4617,"EA",NA,43.72,0.182
"36","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.4617,0.4749,"EA",NA,36.72,0.174
"37","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.4749,0.4881,"EA",NA,25.87,0.182
"38","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.4881,0.5013,"EA",11.71,24.6,0.121
"39","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","peat",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.5013,0.5145,"EA",NA,24.95,0.303
"40","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","sand",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.5145,0.5277,"EA",NA,14.65,0.477
"41","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","sand",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.5277,0.5409,"EA",NA,8.23,0.614
"42","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","sand",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.5409,0.554,"EA",NA,6.35,0.735
"43","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","sand",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.554,0.5672,"EA",4.68,10.8,0.591
"44","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","sand",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.5672,0.5804,"EA",NA,6.03,0.705
"45","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","sand",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.5804,0.5936,"EA",NA,9.62,0.538
"46","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","sand",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.5936,0.6068,"EA",NA,5.26,0.674
"47","Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East","CBE_1-1","Salt marsh","sand",49.14139,-125.6662,"direct from dataset","1","Canada"," British Columbia",2016,0.6068,0.62,"EA",1.44,3.99,0.697
"48","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","soil",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0,0.0105,"EA",NA,90.92,0.095
"49","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","soil",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.0105,0.0211,"EA",NA,89.87,0.124
"50","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","soil",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.0211,0.0316,"EA",NA,97.08,0.095
"51","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","soil",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.0316,0.0421,"EA",NA,84.24,0.105
"52","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","soil",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.0421,0.0526,"EA",NA,77,0.105
"53","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","soil",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.0526,0.0632,"EA",NA,76.31,0.105
"54","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","soil",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.0632,0.0737,"EA",NA,76.73,0.133
"55","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","soil",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.0737,0.0842,"EA",NA,62.34,0.133
"56","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","soil",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.0842,0.0947,"EA",NA,69.17,0.133
"57","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.0947,0.1053,"EA",NA,60.93,0.124
"58","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.1053,0.1158,"EA",NA,60.9,0.143
"59","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.1158,0.1263,"EA",NA,53.37,0.181
"60","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.1263,0.1368,"EA",NA,61,0.143
"61","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.1368,0.1474,"EA",NA,67.66,0.162
"62","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.1474,0.1579,"EA",NA,57.17,0.162
"63","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.1579,0.1684,"EA",NA,48.57,0.171
"64","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.1684,0.1789,"EA",NA,48.97,0.2
"65","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.1789,0.1895,"EA",NA,45.76,0.19
"66","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.1895,0.2,"EA",NA,30.43,0.314
"67","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.2,0.2105,"EA",NA,27.71,0.314
"68","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud+sand",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.2105,0.2211,"EA",NA,15.32,0.438
"69","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud+sand",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.2211,0.2316,"EA",NA,16.36,0.419
"70","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud+sand",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.2316,0.2421,"EA",NA,15.77,0.476
"71","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","mud+sand",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.2421,0.2526,"EA",NA,17.88,0.41
"72","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.2526,0.2632,"EA",NA,15.71,0.457
"73","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.2632,0.2737,"EA",NA,30.08,0.733
"74","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.2737,0.2842,"EA",NA,25.55,0.267
"75","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.2842,0.2947,"EA",NA,17.62,0.4
"76","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.2947,0.3053,"EA",NA,13.12,0.476
"77","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.3053,0.3158,"EA",NA,11.35,0.59
"78","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.3158,0.3263,"EA",NA,9.06,0.686
"79","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.3263,0.3368,"EA",NA,20.11,0.343
"80","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.3368,0.3474,"EA",NA,24.43,0.362
"81","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.3474,0.3579,"EA",NA,27.36,0.305
"82","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.3579,0.3684,"EA",NA,31.61,0.314
"83","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.3684,0.3789,"EA",NA,18.19,0.39
"84","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.3789,0.3895,"EA",NA,19.63,0.362
"85","Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East","CBE_1-2","Salt marsh","peat+mud",49.14142,-125.66629,"direct from dataset","1","Canada"," British Columbia",2016,0.3895,0.4001,"EA",NA,10.77,0.59
"86","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","soil",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0,0.01,"EA",NA,83.33,0.09
"87","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","soil",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.01,0.02,"EA",NA,77.85,0.11
"88","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","soil",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.02,0.03,"EA",NA,93.62,0.09
"89","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","soil",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.03,0.04,"EA",NA,90.02,0.1
"90","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","soil",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.04,0.05,"EA",NA,83.8,0.09
"91","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","soil",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.05,0.06,"EA",NA,84.58,0.11
"92","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","soil",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.06,0.07,"EA",NA,77.11,0.13
"93","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","soil",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.07,0.08,"EA",NA,83.43,0.09
"94","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","soil",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.08,0.09,"EA",NA,82.75,0.09
"95","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","soil-peat",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.09,0.1,"EA",NA,71.6,0.11
"96","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","soil-peat",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.1,0.11,"EA",NA,85.2,0.12
"97","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","soil-peat",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.11,0.12,"EA",NA,82.22,0.1
"98","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","peat",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.12,0.13,"EA",NA,71.66,0.12
"99","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","peat",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.13,0.14,"EA",NA,68.77,0.14
"100","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","peat",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.14,0.15,"EA",NA,60.34,0.16
"101","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","peat",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.15,0.16,"EA",NA,58.61,0.18
"102","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","peat",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.16,0.17,"EA",NA,56.71,0.19
"103","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","peat",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.17,0.18,"EA",NA,57.87,0.17
"104","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","peat",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.18,0.19,"EA",NA,56.44,0.18
"105","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","peat",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.19,0.2,"EA",NA,46.32,0.22
"106","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","peat",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.2,0.21,"EA",NA,41.88,0.25
"107","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","peat",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.21,0.22,"EA",NA,33.35,0.27
"108","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","peat",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.22,0.23,"EA",NA,38.49,0.26
"109","Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East","CBE_1-3","Salt marsh","peat",49.14147,-125.66636,"direct from dataset","1","Canada"," British Columbia",2016,0.23,0.24,"EA",NA,54.19,0.17
"110","Kohfeld et al 2022","KEH CBE_1-4","Cannery Bay East","CBE_1-4","Salt marsh","soil with sand",49.14152,-125.66639,"direct from dataset","1","Canada"," British Columbia",2016,0,0.01,"EA",NA,21.4,0.26
"111","Kohfeld et al 2022","KEH CBE_1-4","Cannery Bay East","CBE_1-4","Salt marsh","soil with sand",49.14152,-125.66639,"direct from dataset","1","Canada"," British Columbia",2016,0.01,0.02,"EA",NA,54.96,0.15
"112","Kohfeld et al 2022","KEH CBE_1-4","Cannery Bay East","CBE_1-4","Salt marsh","soil",49.14152,-125.66639,"direct from dataset","1","Canada"," British Columbia",2016,0.02,0.03,"EA",NA,50.28,0.13
"113","Kohfeld et al 2022","KEH CBE_1-4","Cannery Bay East","CBE_1-4","Salt marsh","soil",49.14152,-125.66639,"direct from dataset","1","Canada"," British Columbia",2016,0.03,0.04,"EA",NA,60.05,0.12
"114","Kohfeld et al 2022","KEH CBE_1-4","Cannery Bay East","CBE_1-4","Salt marsh","soil",49.14152,-125.66639,"direct from dataset","1","Canada"," British Columbia",2016,0.04,0.05,"EA",NA,48.68,0.17
"115","Kohfeld et al 2022","KEH CBE_1-4","Cannery Bay East","CBE_1-4","Salt marsh","soil",49.14152,-125.66639,"direct from dataset","1","Canada"," British Columbia",2016,0.05,0.06,"EA",NA,63.02,0.15
"116","Kohfeld et al 2022","KEH CBE_1-4","Cannery Bay East","CBE_1-4","Salt marsh","peat",49.14152,-125.66639,"direct from dataset","1","Canada"," British Columbia",2016,0.06,0.07,"EA",NA,66.94,0.15
"117","Kohfeld et al 2022","KEH CBE_1-4","Cannery Bay East","CBE_1-4","Salt marsh","peat",49.14152,-125.66639,"direct from dataset","1","Canada"," British Columbia",2016,0.07,0.08,"EA",NA,60.22,0.13
"118","Kohfeld et al 2022","KEH CBE_1-4","Cannery Bay East","CBE_1-4","Salt marsh","peat",49.14152,-125.66639,"direct from dataset","1","Canada"," British Columbia",2016,0.08,0.09,"EA",NA,48.74,0.19
"119","Kohfeld et al 2022","KEH CBE_1-4","Cannery Bay East","CBE_1-4","Salt marsh","soil",49.14152,-125.66639,"direct from dataset","1","Canada"," British Columbia",2016,0.09,0.1,"EA",NA,60.21,0.16
"120","Kohfeld et al 2022","KEH CBE_1-4","Cannery Bay East","CBE_1-4","Salt marsh","soil",49.14152,-125.66639,"direct from dataset","1","Canada"," British Columbia",2016,0.1,0.11,"EA",NA,65.67,0.13
"121","Kohfeld et al 2022","KEH CBE_1-4","Cannery Bay East","CBE_1-4","Salt marsh","soil",49.14152,-125.66639,"direct from dataset","1","Canada"," British Columbia",2016,0.11,0.12,"EA",NA,73.12,0.14
"122","Kohfeld et al 2022","KEH CBE_1-4","Cannery Bay East","CBE_1-4","Salt marsh","soil",49.14152,-125.66639,"direct from dataset","1","Canada"," British Columbia",2016,0.12,0.13,"EA",NA,69.31,0.16
"123","Kohfeld et al 2022","KEH CBE_1-4","Cannery Bay East","CBE_1-4","Salt marsh","soil",49.14152,-125.66639,"direct from dataset","1","Canada"," British Columbia",2016,0.13,0.14,"EA",NA,62.09,0.11
